Region,SiteCode,Lat,Long
AK,A,55.4967115,-133.1694408
AK,B,55.73943425,-133.3120588
AK,C,55.70733725,-133.3422598
AK,D,55.24908025,-132.8815268
AK,E,55.597631,-133.1627413
AK,F,55.2832995,-133.3335205
BB,A,,
BB,B,38.333387,-123.059461
BB,C,38.20455198,-122.9268415
BB,D,38.30995233,-123.0590258
BB,E,38.10502768,-122.8463775
BB,F,38.17850748,-122.9088285
BC,A,51.64505167,-128.11946
BC,B,51.7706365,-128.0599033
BC,C,51.80798667,-128.2369017
BC,D,51.92398,-128.46993
BC,E,51.89405167,-128.2348717
OR,A,43.34607183,-124.3181705
OR,B,43.35929283,-124.3098838
OR,C,44.61293517,-124.0139907
OR,D,44.61944483,-124.0325398
OR,E,44.62305733,-124.0233798
SD,A,32.62567667,-117.106445
SD,B,32.77164333,-117.2196167
SD,C,32.97057017,-117.2518788
SD,D,32.7141475,-117.225227
SD,E,32.78958667,-117.2311152
WA,A,48.4685835,-123.0027512
WA,B,48.48291883,-123.0741698
WA,C,48.69187517,-122.9524467
WA,D,48.7046845,-123.054054
WA,E,48.5634,-122.9355568
